condition,metric,n,pearson_r,pearson_p,spearman_rho,spearman_p,abs_spearman,target
constrained,chain_ptm_S_substrate2,18,-0.3146617365962841,0.2034585142060433,-0.4434113856278494,0.06531489507731834,0.4434113856278494,kcat_km
constrained,pair_iptm_S_substrate2__S_substrate2,18,-0.3146617365962841,0.2034585142060433,-0.4434113856278494,0.06531489507731834,0.4434113856278494,kcat_km
constrained,frac_active_site,18,-0.35551112555207864,0.14766646863927926,-0.4077756799463222,0.09300076095344917,0.4077756799463222,kcat_km
constrained,pair_iptm_A_protein__S_substrate2,18,-0.434098252214567,0.0718663984201906,-0.3927653299267664,0.10689607859381924,0.3927653299267664,kcat_km
constrained,pair_iptm_L_substrate__S_substrate2,18,-0.3935092601523441,0.10617440374209172,-0.377261435324394,0.12274408514700087,0.377261435324394,kcat_km
constrained,pair_iptm_S_substrate2__T_atp,18,-0.3969700784306134,0.10286288995351889,-0.3514216109871067,0.15271498700522207,0.3514216109871067,kcat_km
constrained,mean_contacts,18,-0.3918119166945381,0.10782608637787292,-0.3348841234112429,0.17433538215863081,0.3348841234112429,kcat_km
constrained,iptm,18,-0.345584175992166,0.1601246379213213,-0.31731304286188755,0.19946927568083145,0.31731304286188755,kcat_km
constrained,mean_dist,18,0.3953138572375931,0.10443828313003578,0.3131786709679216,0.20571267301163576,0.3131786709679216,kcat_km
constrained,mean_mg_s_dist,18,0.39625106633600005,0.1035447043062384,0.31111148502093866,0.20888187143966958,0.31111148502093866,kcat_km
constrained,ptm,18,-0.2788473619175687,0.26249022689059803,-0.29664118339205775,0.23195830515914917,0.29664118339205775,kcat_km
constrained,ligand_iptm,18,-0.33195535914042373,0.1783684872450653,-0.2945739974450748,0.2353829487278345,0.2945739974450748,kcat_km
constrained,frac_close,18,-0.3425261123419823,0.16410257296660025,-0.2774327122153209,0.26502003320780065,0.2774327122153209,kcat_km
constrained,median_dist,18,0.24968409651115805,0.3176912636228979,0.22635686119463644,0.3664148155670617,0.22635686119463644,kcat_km
constrained,frac_entrance,18,-0.27297103403426887,0.27309775291738664,-0.19792756741261272,0.43111438105686195,0.19792756741261272,kcat_km
constrained,confidence_score,18,-0.11039630783205305,0.6627757361741345,-0.1736436195465704,0.4907717650393133,0.1736436195465704,kcat_km
constrained,chain_ptm_L_substrate,18,0.34626850077216076,0.15924355532617795,0.14677020223579165,0.5611384837727378,0.14677020223579165,kcat_km
constrained,pair_iptm_L_substrate__L_substrate,18,0.34626850077216076,0.15924355532617795,0.14677020223579165,0.5611384837727378,0.14677020223579165,kcat_km
constrained,pair_iptm_A_protein__L_substrate,18,0.2785830690363645,0.2629617123361232,0.12196397087199587,0.6297295124945468,0.12196397087199587,kcat_km
constrained,complex_pde,18,0.01249973584015826,0.960739021452971,0.0961241465347086,0.7043738550897116,0.0961241465347086,kcat_km
constrained,pair_iptm_A_protein__T_atp,18,0.1373498448751269,0.5868004272718859,-0.09405696058772561,0.7104689890058897,0.09405696058772561,kcat_km
constrained,complex_plddt,18,0.15530894732213762,0.538311793219653,0.09302336761423413,0.7135228624424121,0.09302336761423413,kcat_km
constrained,chain_ptm_A_protein,18,0.1398257110057741,0.5800085883785332,0.07131791517091284,0.7785479487982708,0.07131791517091284,kcat_km
constrained,chain_ptm_T_atp,18,0.08898974236025851,0.7254799989136167,0.06821713625043838,0.7879636668447035,0.06821713625043838,kcat_km
constrained,complex_ipde,18,0.010580716405939966,0.9667631211072688,-0.04857886975410005,0.8481977662126803,0.04857886975410005,kcat_km
constrained,pair_iptm_L_substrate__T_atp,18,0.1820361434587405,0.46971466249703314,0.03824294001918514,0.880246230637751,0.03824294001918514,kcat_km
constrained,complex_iplddt,18,0.27715239186420776,0.2655231207913616,-0.022739045416812792,0.9286379971139096,0.022739045416812792,kcat_km
constrained,mean_entrance_contacts,18,0.13437972112499996,0.5949916692599289,-0.010335929734914906,0.9675316741042297,0.010335929734914906,kcat_km
no_atp,frac_active_site,18,-0.29643835528732876,0.23229290403871425,-0.3408382600230316,0.16632665267264626,0.3408382600230316,kcat_km
no_atp,mean_mg_s_dist,18,0.11693341865818915,0.6440230887219968,0.265633394187313,0.28670887365267894,0.265633394187313,kcat_km
no_atp,pair_iptm_L_substrate__S_substrate2,18,-0.04236846169847372,0.8674302898594973,-0.25426387147890667,0.3085995503849862,0.25426387147890667,kcat_km
no_atp,ptm,18,-0.07820989937332072,0.7577264943301533,-0.2532302785054152,0.31063771825636305,0.2532302785054152,kcat_km
no_atp,mean_contacts,18,-0.100339449991357,0.6919982640798683,-0.24648819897125426,0.3241284991707245,0.24648819897125426,kcat_km
no_atp,mean_dist,18,0.0981555787812378,0.6984007890048819,0.24289434877050028,0.3314581076756381,0.24289434877050028,kcat_km
no_atp,chain_ptm_A_protein,18,-0.08924794788855686,0.7247127380454115,-0.23049123308860237,0.3574876098883092,0.23049123308860237,kcat_km
no_atp,complex_pde,18,-0.012122735495277398,0.9619223340940947,0.21602093145972148,0.38927407346413645,0.21602093145972148,kcat_km
no_atp,iptm,18,-0.05161136546966902,0.838835567736449,-0.20155062983084063,0.42255343899097186,0.20155062983084063,kcat_km
no_atp,ligand_iptm,18,-0.05161136546966902,0.838835567736449,-0.20155062983084063,0.42255343899097186,0.20155062983084063,kcat_km
no_atp,frac_close,18,-0.20902856499395617,0.4051716106675251,-0.19347726388784334,0.441752984091226,0.19347726388784334,kcat_km
no_atp,frac_entrance,18,0.1282978202012489,0.6119097921175876,0.18653179589835991,0.45862362437771176,0.18653179589835991,kcat_km
no_atp,complex_ipde,18,0.0067698942167931375,0.9787306587390431,0.1736436195465704,0.4907717650393133,0.1736436195465704,kcat_km
no_atp,mean_entrance_contacts,18,0.004090144342257462,0.9871489006497112,-0.15863160708056256,0.5295446501403366,0.15863160708056256,kcat_km
no_atp,pair_iptm_A_protein__S_substrate2,18,-0.041470229549805324,0.8702180808003913,-0.14677020223579165,0.5611384837727378,0.14677020223579165,kcat_km
no_atp,median_dist,18,0.024827561133196008,0.9221016491346339,0.12816552871294482,0.6122799151512148,0.12816552871294482,kcat_km
no_atp,confidence_score,18,-0.2260241349486553,0.3671386674049447,-0.12093037789850436,0.6326563245019354,0.12093037789850436,kcat_km
no_atp,pair_iptm_A_protein__L_substrate,18,0.08795863856383945,0.7285464107248512,-0.11266163411057245,0.6562549997121051,0.11266163411057245,kcat_km
no_atp,complex_iplddt,18,-0.26352544238139786,0.2906940944068545,-0.10439289032264053,0.6801674580805293,0.10439289032264053,kcat_km
no_atp,chain_ptm_L_substrate,18,0.1477034406174882,0.5586232309440278,-0.05891479948901495,0.8163743098542046,0.05891479948901495,kcat_km
no_atp,pair_iptm_L_substrate__L_substrate,18,0.1477034406174882,0.5586232309440278,-0.05891479948901495,0.8163743098542046,0.05891479948901495,kcat_km
no_atp,complex_plddt,18,-0.22445158869807302,0.3705706365459065,-0.046511683807117066,0.8545909484947933,0.046511683807117066,kcat_km
no_atp,chain_ptm_S_substrate2,18,-0.013263226935830985,0.9583428497183503,0.011369522708406396,0.9642867107821055,0.011369522708406396,kcat_km
no_atp,pair_iptm_S_substrate2__S_substrate2,18,-0.013263226935830985,0.9583428497183503,0.011369522708406396,0.9642867107821055,0.011369522708406396,kcat_km
no_cofactor,complex_plddt,18,-0.40775484684607144,0.09301909006241095,-0.39586610884724077,0.10391107490119272,0.39586610884724077,kcat_km
no_cofactor,complex_iplddt,18,-0.4060618505487163,0.09451735677736722,-0.3927653299267664,0.10689607859381924,0.3927653299267664,kcat_km
no_cofactor,confidence_score,18,-0.33423874016214106,0.17521879176482,-0.3431528671991748,0.1632818713061163,0.3431528671991748,kcat_km
no_cofactor,pair_iptm_L_substrate__S_substrate2,18,-0.03657184590481204,0.8854457336644677,-0.2532302785054152,0.31063771825636305,0.2532302785054152,kcat_km
no_cofactor,mean_dist,18,-0.020196433308162842,0.9366013452634401,0.2056850017248066,0.41289522175495663,0.2056850017248066,kcat_km
no_cofactor,iptm,18,0.1103464094824496,0.6629196305538206,-0.1829459563079938,0.46745936838493785,0.1829459563079938,kcat_km
no_cofactor,ligand_iptm,18,0.1103464094824496,0.6629196305538206,-0.1829459563079938,0.46745936838493785,0.1829459563079938,kcat_km
no_cofactor,chain_ptm_S_substrate2,18,-0.019988387518254255,0.9372531987369109,-0.15297176007674057,0.5445177626304077,0.15297176007674057,kcat_km
no_cofactor,pair_iptm_S_substrate2__S_substrate2,18,-0.019988387518254255,0.9372531987369109,-0.15297176007674057,0.5445177626304077,0.15297176007674057,kcat_km
no_cofactor,frac_close,18,-0.12290524359129024,0.6270686793473145,-0.14388861576723852,0.568935938662172,0.14388861576723852,kcat_km
no_cofactor,pair_iptm_A_protein__S_substrate2,18,-0.018798192324438287,0.9409830614990685,-0.1374678654743682,0.5864759176223702,0.1374678654743682,kcat_km
no_cofactor,frac_entrance,18,-0.06028348844199294,0.8121795683138626,-0.12099850769427425,0.6324632416777061,0.12099850769427425,kcat_km
no_cofactor,chain_ptm_A_protein,18,0.20265160581491784,0.4199698805399654,0.1085272622166065,0.668173229246549,0.1085272622166065,kcat_km
no_cofactor,mean_entrance_contacts,18,0.19656937234133479,0.4343468810160386,0.10398345933621994,0.6813592994319324,0.10398345933621994,kcat_km
no_cofactor,pair_iptm_A_protein__L_substrate,18,0.308668972159213,0.21266740823410443,0.10335929734914903,0.6831775977641288,0.10335929734914903,kcat_km
no_cofactor,ptm,18,0.18854494380253756,0.4537004268834942,0.037209347045693654,0.8834616527588823,0.037209347045693654,kcat_km
no_cofactor,chain_ptm_L_substrate,18,0.23348222159137916,0.3511070929803959,0.03307497515172769,0.8963402083774041,0.03307497515172769,kcat_km
no_cofactor,pair_iptm_L_substrate__L_substrate,18,0.23348222159137916,0.3511070929803959,0.03307497515172769,0.8963402083774041,0.03307497515172769,kcat_km
no_cofactor,complex_pde,18,-0.11222138999775966,0.6575204097994083,0.029974196231253223,0.9060155047930557,0.029974196231253223,kcat_km
no_cofactor,median_dist,18,-0.1478990685852174,0.5580966045347951,-0.027907010284270242,0.9124727871040188,0.027907010284270242,kcat_km
no_cofactor,mean_contacts,18,0.12472637832299108,0.6219330481179172,0.012960098617693018,0.9592941604727301,0.012960098617693018,kcat_km
no_cofactor,frac_active_site,18,-0.03948624147177771,0.8763807873728354,0.012898484259189557,0.9594875318943349,0.012898484259189557,kcat_km
no_cofactor,complex_ipde,18,-0.07960518732526181,0.7535299272412477,-0.0010335929734914904,0.996752366110912,0.0010335929734914904,kcat_km
no_constraint,chain_ptm_L_substrate,18,0.47066069858243464,0.04868925849243866,0.5064605570108304,0.0319706412447465,0.5064605570108304,kcat_km
no_constraint,pair_iptm_L_substrate__L_substrate,18,0.47066069858243464,0.04868925849243866,0.5064605570108304,0.0319706412447465,0.5064605570108304,kcat_km
no_constraint,frac_active_site,18,-0.4297370586037512,0.07509593119317268,-0.49387757933949206,0.037241798871228464,0.49387757933949206,kcat_km
no_constraint,complex_iplddt,18,0.4024751054892894,0.09774904488072876,0.434109048866426,0.07185853285866878,0.434109048866426,kcat_km
no_constraint,pair_iptm_L_substrate__T_atp,18,0.37980420712169516,0.12003779057609948,0.40310125966168125,0.09717921728857591,0.40310125966168125,kcat_km
no_constraint,pair_iptm_A_protein__L_substrate,18,0.4387372735087314,0.0685449792406089,0.4000004807412068,0.1000246343648362,0.4000004807412068,kcat_km
no_constraint,complex_plddt,18,0.33503066865085884,0.17413520780543276,0.3214474147558535,0.19335209065576472,0.3214474147558535,kcat_km
no_constraint,complex_pde,18,-0.11982048706407761,0.6358049796386288,-0.2811372887896854,0.2584271814279031,0.2811372887896854,kcat_km
no_constraint,complex_ipde,18,-0.17383304437449132,0.49029150356641993,-0.273902137975245,0.271399616035402,0.273902137975245,kcat_km
no_constraint,confidence_score,18,0.2917241600217732,0.24015685551012522,0.21188655956575553,0.39863196284629476,0.21188655956575553,kcat_km
no_constraint,pair_iptm_A_protein__T_atp,18,-0.2563882204142005,0.3044356226845547,-0.20465140875131507,0.4152986341268806,0.20465140875131507,kcat_km
no_constraint,pair_iptm_A_protein__S_substrate2,18,-0.18950283327601847,0.45136737521259346,-0.19328188604290872,0.44222312562119004,0.19328188604290872,kcat_km
no_constraint,chain_ptm_S_substrate2,18,-0.2112858149771284,0.40000179762885724,-0.17777799144053633,0.4803417197698959,0.17777799144053633,kcat_km
